feature,coefficient,absolute_importance,direction
zero_commit_streak,2.4866329349626883,2.4866329349626883,increases_risk
active_month_ratio_12m,-0.7970129992631654,0.7970129992631654,decreases_risk
project_age_months,0.23309532315731196,0.23309532315731196,increases_risk
inactivity_streak,-0.20187093411622017,0.20187093411622017,decreases_risk
activity_change_3m,-0.10469256797332843,0.10469256797332843,decreases_risk
longest_inactivity_gap,0.09102496748996221,0.09102496748996221,increases_risk
issue_net_flow_6m,0.06302328271460939,0.06302328271460939,increases_risk
pr_merge_rate_6m,0.023744019694934518,0.023744019694934518,increases_risk
issue_activity_trend_6m,0.01157543685479991,0.01157543685479991,increases_risk
collaboration_trend_6m,0.009703146967111713,0.009703146967111713,increases_risk
contributor_volatility_6m,-0.008317386740629502,0.008317386740629502,decreases_risk
avg_contributors_6m,-0.004540652137270333,0.004540652137270333,decreases_risk
commit_volatility_6m,-0.004158414733929401,0.004158414733929401,decreases_risk
avg_pr_opened_6m,-0.00396907795114282,0.00396907795114282,decreases_risk
contributor_trend_6m,0.0036497283761903797,0.0036497283761903797,increases_risk
commit_rate_6m,-0.0025818776303450095,0.0025818776303450095,decreases_risk
pr_net_flow_6m,-0.002131157549643823,0.002131157549643823,decreases_risk
commit_trend_6m,0.001999993730154804,0.001999993730154804,increases_risk
returning_contributor_rate_6m,-0.0017122147305376762,0.0017122147305376762,decreases_risk
new_contributor_rate_6m,0.0017122147305376643,0.0017122147305376643,increases_risk
pr_activity_trend_6m,0.001570878792904567,0.001570878792904567,increases_risk
avg_issues_opened_6m,0.0013147576984601159,0.0013147576984601159,increases_risk
activity_total,-0.0006302619296712116,0.0006302619296712116,decreases_risk
