repo_id,full_name,language,month,contributors,new_contributors,returning_contributors
7905539,koral--/android-gif-drawable,Java,2013-01,2,2,0
7905539,koral--/android-gif-drawable,Java,2013-02,2,1,1
7905539,koral--/android-gif-drawable,Java,2013-03,1,0,1
7905539,koral--/android-gif-drawable,Java,2013-04,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-05,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-06,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-07,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-08,0,0,0
7905539,koral--/android-gif-drawable,Java,2013-09,2,1,1
7905539,koral--/android-gif-drawable,Java,2013-10,2,0,2
7905539,koral--/android-gif-drawable,Java,2013-11,3,1,2
7905539,koral--/android-gif-drawable,Java,2013-12,1,0,1
7905539,koral--/android-gif-drawable,Java,2014-01,1,0,1
7905539,koral--/android-gif-drawable,Java,2014-02,1,0,1
7905539,koral--/android-gif-drawable,Java,2014-03,2,1,1
7905539,koral--/android-gif-drawable,Java,2014-04,2,0,2
7905539,koral--/android-gif-drawable,Java,2014-05,3,1,2
7905539,koral--/android-gif-drawable,Java,2014-06,1,0,1
7905539,koral--/android-gif-drawable,Java,2014-07,2,0,2
7905539,koral--/android-gif-drawable,Java,2014-08,1,0,1
7905539,koral--/android-gif-drawable,Java,2014-09,2,0,2
7905539,koral--/android-gif-drawable,Java,2014-10,1,0,1
7905539,koral--/android-gif-drawable,Java,2014-11,3,1,2
7905539,koral--/android-gif-drawable,Java,2014-12,2,0,2
7905539,koral--/android-gif-drawable,Java,2015-01,3,1,2
7905539,koral--/android-gif-drawable,Java,2015-02,3,1,2
7905539,koral--/android-gif-drawable,Java,2015-03,3,1,2
7905539,koral--/android-gif-drawable,Java,2015-04,2,0,2
7905539,koral--/android-gif-drawable,Java,2015-05,2,0,2
7905539,koral--/android-gif-drawable,Java,2015-06,1,0,1
7905539,koral--/android-gif-drawable,Java,2015-07,2,1,1
7905539,koral--/android-gif-drawable,Java,2015-08,1,0,1
7905539,koral--/android-gif-drawable,Java,2015-09,2,0,2
7905539,koral--/android-gif-drawable,Java,2015-10,1,0,1
7905539,koral--/android-gif-drawable,Java,2015-11,1,0,1
7905539,koral--/android-gif-drawable,Java,2015-12,2,0,2
7905539,koral--/android-gif-drawable,Java,2016-01,3,1,2
7905539,koral--/android-gif-drawable,Java,2016-02,1,0,1
7905539,koral--/android-gif-drawable,Java,2016-03,2,1,1
7905539,koral--/android-gif-drawable,Java,2016-04,4,2,2
7905539,koral--/android-gif-drawable,Java,2016-05,1,0,1
7905539,koral--/android-gif-drawable,Java,2016-06,2,0,2
7905539,koral--/android-gif-drawable,Java,2016-07,2,1,1
7905539,koral--/android-gif-drawable,Java,2016-08,2,0,2
7905539,koral--/android-gif-drawable,Java,2016-09,2,0,2
7905539,koral--/android-gif-drawable,Java,2016-10,1,0,1
7905539,koral--/android-gif-drawable,Java,2016-11,1,0,1
7905539,koral--/android-gif-drawable,Java,2016-12,1,0,1
7905539,koral--/android-gif-drawable,Java,2017-01,3,1,2
7905539,koral--/android-gif-drawable,Java,2017-02,1,0,1
7905539,koral--/android-gif-drawable,Java,2017-03,4,2,2
7905539,koral--/android-gif-drawable,Java,2017-04,2,0,2
7905539,koral--/android-gif-drawable,Java,2017-05,1,0,1
7905539,koral--/android-gif-drawable,Java,2017-06,1,0,1
7905539,koral--/android-gif-drawable,Java,2017-07,2,1,1
7905539,koral--/android-gif-drawable,Java,2017-08,2,1,1
7905539,koral--/android-gif-drawable,Java,2017-09,1,0,1
7905539,koral--/android-gif-drawable,Java,2017-10,0,0,0
7905539,koral--/android-gif-drawable,Java,2017-11,1,0,1
7905539,koral--/android-gif-drawable,Java,2017-12,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-01,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-02,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-03,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-04,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-05,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-06,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-07,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-08,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-09,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-10,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-11,1,0,1
7905539,koral--/android-gif-drawable,Java,2018-12,0,0,0
7905539,koral--/android-gif-drawable,Java,2019-01,0,0,0
7905539,koral--/android-gif-drawable,Java,2019-02,0,0,0
