repo_id,full_name,language,month,commits,contributors,new_contributors,returning_contributors,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed,is_partial_month,meaningful_activity,project_age_months,project_age_years,observation_month_index,commit_rate_6m,active_month_ratio_12m,commit_volatility_6m,zero_commit_streak,commit_trend_6m,avg_contributors_6m,contributor_volatility_6m,new_contributor_rate_6m,returning_contributor_rate_6m,contributor_zero_streak,contributor_trend_6m,avg_pr_opened_6m,avg_issues_opened_6m,pr_merge_rate_6m,pr_net_flow_6m,issue_net_flow_6m,pr_activity_trend_6m,issue_activity_trend_6m,collaboration_trend_6m,activity_total,activity_change_3m,inactivity_streak,longest_inactivity_gap,observation_month,inactive_within_12m
7905539,koral--/android-gif-drawable,Java,2013-01-01,5,2,2,0,0,0,0,0,0,False,True,0,0.0,1,5.0,1.0,0.0,0,,2.0,0.0,1.0,0.0,0,,0.0,0.0,,0.0,0.0,,,,7,,0,0,2013-01,0
7905539,koral--/android-gif-drawable,Java,2013-02-01,4,2,1,1,0,0,0,0,0,False,True,1,0.0833333333333333,2,4.5,1.0,0.7071067811865476,0,,2.0,0.0,0.75,0.25,0,,0.0,0.0,,0.0,0.0,,,,6,,0,0,2013-02,0
7905539,koral--/android-gif-drawable,Java,2013-03-01,1,1,0,1,0,0,0,0,0,False,True,2,0.1666666666666666,3,3.333333333333333,1.0,2.0816659994661326,0,-2.0,1.6666666666666667,0.5773502691896258,0.6,0.4,0,-0.5000000000000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,,0,0,2013-03,0
7905539,koral--/android-gif-drawable,Java,2013-04-01,0,0,0,0,0,0,0,0,0,False,False,3,0.25,4,2.5,0.75,2.3804761428476167,1,-1.8,1.25,0.957427107756338,0.6,0.4,1,-0.6999999999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,-1.0,1,1,2013-04,0
7905539,koral--/android-gif-drawable,Java,2013-05-01,0,0,0,0,0,0,0,0,0,False,False,4,0.3333333333333333,5,2.0,0.6,2.345207879911715,2,-1.4000000000000004,1.0,1.0,0.6,0.4,2,-0.6000000000000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,-1.0,2,2,2013-05,0
10270250,react/react,JavaScript,2013-05-01,97,12,12,0,27,22,21,7,4,False,True,0,0.0,1,97.0,1.0,0.0,0,,12.0,0.0,1.0,0.0,0,,27.0,7.0,0.9545454545454546,5.0,3.0,,,,190,,0,0,2013-05,0
7905539,koral--/android-gif-drawable,Java,2013-06-01,0,0,0,0,0,0,0,0,0,False,False,5,0.4166666666666667,6,1.6666666666666667,0.5,2.250925735484551,3,-1.0857142857142854,0.8333333333333334,0.983192080250175,0.6,0.4,3,-0.4857142857142854,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,-1.0,3,3,2013-06,0
10270250,react/react,JavaScript,2013-06-01,299,22,14,8,67,64,54,40,12,False,True,1,0.0833333333333333,2,198.0,1.0,142.8355697996826,0,,17.0,7.071067811865476,0.7647058823529411,0.2352941176470588,0,,47.0,23.5,0.872093023255814,8.0,31.0,,,,558,,0,0,2013-06,0
7905539,koral--/android-gif-drawable,Java,2013-07-01,0,0,0,0,0,0,0,0,0,False,False,6,0.5,7,0.8333333333333334,0.4285714285714285,1.6020819787597222,4,-0.6571428571428568,0.5,0.8366600265340756,0.3333333333333333,0.6666666666666666,4,-0.3714285714285713,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,4,4,2013-07,0
10270250,react/react,JavaScript,2013-07-01,282,24,15,9,57,56,38,46,29,False,True,2,0.1666666666666666,3,226.0,1.0,112.04017136723776,0,92.49999999999996,19.33333333333333,6.429100507328637,0.7068965517241379,0.293103448275862,0,6.0,50.333333333333336,31.0,0.795774647887324,9.0,48.0,40.500000000000014,31.999999999999996,72.50000000000001,532,,0,0,2013-07,0
11730342,vuejs/vue,TypeScript,2013-07-01,8,2,2,0,0,0,0,0,0,False,True,0,0.0,1,8.0,1.0,0.0,0,,2.0,0.0,1.0,0.0,0,,0.0,0.0,,0.0,0.0,,,,10,,0,0,2013-07,0
7905539,koral--/android-gif-drawable,Java,2013-08-01,0,0,0,0,0,0,0,1,0,False,True,7,0.5833333333333334,8,0.1666666666666666,0.5,0.4082482904638636,5,-0.1428571428571428,0.1666666666666666,0.4082482904638632,0.0,1.0,5,-0.1428571428571428,0.0,0.1666666666666666,,0.0,1.0,0.0,0.1428571428571427,0.1428571428571427,1,,0,4,2013-08,0
10270250,react/react,JavaScript,2013-08-01,91,26,13,13,37,25,14,25,17,False,True,3,0.25,4,192.25,1.0,113.68780350884904,0,-3.5000000000000075,21.0,6.21825270205921,0.6428571428571429,0.3571428571428571,0,4.4,47.0,29.5,0.7604790419161677,21.0,56.0,-1.599999999999986,11.6,10.000000000000044,235,0.2368421052631578,0,0,2013-08,0
11730342,vuejs/vue,TypeScript,2013-08-01,165,2,0,2,0,0,0,0,0,False,True,1,0.0833333333333333,2,86.5,1.0,111.01576464628796,0,,2.0,0.0,0.5,0.5,0,,0.0,0.0,,0.0,0.0,,,,167,,0,0,2013-08,0
