repo_id,full_name,language,start_month,end_month,event_month,duration_months,event
7905539,koral--/android-gif-drawable,Java,2013-01,2026-08,,163,0
10270250,react/react,JavaScript,2013-05,2026-08,,159,0
11730342,vuejs/vue,TypeScript,2013-07,2026-08,,157,0
33340924,blakemcbride/eclipse-lisp,C,2015-04,2026-08,2016-04,12,1
64840597,photopea/Typr.js,JavaScript,2016-08,2026-08,2026-08,120,1
69343400,alidili/SesameCreditScore,Java,2016-09,2026-08,2019-07,34,1
133442384,denoland/deno,Rust,2018-05,2026-08,,99,0
137451403,alibaba/nacos,Java,2018-06,2026-08,,98,0
178597005,FyroxEngine/Fyrox,Rust,2019-03,2026-08,,89,0
231283452,excalidraw/excalidraw,TypeScript,2020-01,2026-08,,79,0
240673792,lyhue1991/eat_tensorflow2_in_30_days,Python,2020-02,2026-08,2024-04,50,1
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-02,2026-08,2024-07,41,1
352933140,ToolJet/ToolJet,JavaScript,2021-03,2026-08,,65,0
439491516,ange-yaghi/engine-sim,C++,2021-12,2026-08,,56,0
579676275,Flipper-XFW/Xtreme-Firmware,C,2022-12,2026-08,2026-03,39,1
585146387,shadcn-ui/ui,TypeScript,2023-01,2026-08,,43,0
762147600,SquirrelCorporation/SquirrelServersManager,TypeScript,2024-02,2026-08,,30,0
1051153247,Latias94/dear-imgui-rs,Rust,2025-09,2026-08,,11,0
