repo_id,full_name,threshold_months,start_month,end_month,event_month,duration_months,event
7905539,koral--/android-gif-drawable,6,2013-01,2026-08,2025-01,144,1
10270250,react/react,6,2013-05,2026-08,,159,0
11730342,vuejs/vue,6,2013-07,2026-08,,157,0
33340924,blakemcbride/eclipse-lisp,6,2015-04,2026-08,2015-10,6,1
64840597,photopea/Typr.js,6,2016-08,2026-08,2021-05,57,1
69343400,alidili/SesameCreditScore,6,2016-09,2026-08,2018-01,16,1
133442384,denoland/deno,6,2018-05,2026-08,,99,0
137451403,alibaba/nacos,6,2018-06,2026-08,,98,0
178597005,FyroxEngine/Fyrox,6,2019-03,2026-08,,89,0
231283452,excalidraw/excalidraw,6,2020-01,2026-08,,79,0
240673792,lyhue1991/eat_tensorflow2_in_30_days,6,2020-02,2026-08,2022-07,29,1
337459381,Ugenteraan/Deep_Hierarchical_Classification,6,2021-02,2026-08,2021-08,6,1
352933140,ToolJet/ToolJet,6,2021-03,2026-08,,65,0
439491516,ange-yaghi/engine-sim,6,2021-12,2026-08,,56,0
579676275,Flipper-XFW/Xtreme-Firmware,6,2022-12,2026-08,2025-09,33,1
585146387,shadcn-ui/ui,6,2023-01,2026-08,,43,0
762147600,SquirrelCorporation/SquirrelServersManager,6,2024-02,2026-08,2026-07,29,1
1051153247,Latias94/dear-imgui-rs,6,2025-09,2026-08,,11,0
7905539,koral--/android-gif-drawable,12,2013-01,2026-08,,163,0
10270250,react/react,12,2013-05,2026-08,,159,0
11730342,vuejs/vue,12,2013-07,2026-08,,157,0
33340924,blakemcbride/eclipse-lisp,12,2015-04,2026-08,2016-04,12,1
64840597,photopea/Typr.js,12,2016-08,2026-08,2026-08,120,1
69343400,alidili/SesameCreditScore,12,2016-09,2026-08,2019-07,34,1
133442384,denoland/deno,12,2018-05,2026-08,,99,0
137451403,alibaba/nacos,12,2018-06,2026-08,,98,0
178597005,FyroxEngine/Fyrox,12,2019-03,2026-08,,89,0
231283452,excalidraw/excalidraw,12,2020-01,2026-08,,79,0
240673792,lyhue1991/eat_tensorflow2_in_30_days,12,2020-02,2026-08,2024-04,50,1
337459381,Ugenteraan/Deep_Hierarchical_Classification,12,2021-02,2026-08,2024-07,41,1
352933140,ToolJet/ToolJet,12,2021-03,2026-08,,65,0
439491516,ange-yaghi/engine-sim,12,2021-12,2026-08,,56,0
579676275,Flipper-XFW/Xtreme-Firmware,12,2022-12,2026-08,2026-03,39,1
585146387,shadcn-ui/ui,12,2023-01,2026-08,,43,0
762147600,SquirrelCorporation/SquirrelServersManager,12,2024-02,2026-08,,30,0
1051153247,Latias94/dear-imgui-rs,12,2025-09,2026-08,,11,0
7905539,koral--/android-gif-drawable,18,2013-01,2026-08,,163,0
10270250,react/react,18,2013-05,2026-08,,159,0
11730342,vuejs/vue,18,2013-07,2026-08,,157,0
33340924,blakemcbride/eclipse-lisp,18,2015-04,2026-08,2016-10,18,1
64840597,photopea/Typr.js,18,2016-08,2026-08,,120,0
69343400,alidili/SesameCreditScore,18,2016-09,2026-08,2020-01,40,1
133442384,denoland/deno,18,2018-05,2026-08,,99,0
137451403,alibaba/nacos,18,2018-06,2026-08,,98,0
178597005,FyroxEngine/Fyrox,18,2019-03,2026-08,,89,0
231283452,excalidraw/excalidraw,18,2020-01,2026-08,,79,0
240673792,lyhue1991/eat_tensorflow2_in_30_days,18,2020-02,2026-08,2024-10,56,1
337459381,Ugenteraan/Deep_Hierarchical_Classification,18,2021-02,2026-08,2025-01,47,1
352933140,ToolJet/ToolJet,18,2021-03,2026-08,,65,0
439491516,ange-yaghi/engine-sim,18,2021-12,2026-08,,56,0
579676275,Flipper-XFW/Xtreme-Firmware,18,2022-12,2026-08,,44,0
585146387,shadcn-ui/ui,18,2023-01,2026-08,,43,0
762147600,SquirrelCorporation/SquirrelServersManager,18,2024-02,2026-08,,30,0
1051153247,Latias94/dear-imgui-rs,18,2025-09,2026-08,,11,0
